start,end,actor,recipient,bodypart_actor,bodypart_recipient,label,intensity_of_body_contact,valence_actor,valence_recipient,intention,audio_information
2965.00,2971.00,FORREST,BUBBA,,,CARRY,1,STRONG_POSITIVE,STRONG_POSITIVE,1,
2971.00,2973.00,FORREST,BUBBA,,,CARRY,1,STRONG_POSITIVE,STRONG_POSITIVE,1,
2974.00,2974.00,FORREST,BUBBA,,,CARRY,1,STRONG_POSITIVE,STRONG_POSITIVE,1,
2974.00,2976.00,FORREST,BUBBA,,,CARRY,1,STRONG_POSITIVE,STRONG_POSITIVE,1,
2981.00,2996.00,FORREST,BUBBA,,,CARRY,1,STRONG_POSITIVE,STRONG_POSITIVE,1,
3004.00,3027.00,FORREST,BUBBA,,,CARRY,1,STRONG_POSITIVE,STRONG_POSITIVE,1,
3027.00,3059.00,BUBBA,FORREST,,,ARM_AROUND_SHOULDER,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
3124.00,3125.00,MEN,DAN,,,,0,POSITIVE,NEGATIVE,1,
3125.00,3125.00,MEN,DAN,,,,0,POSITIVE,NEGATIVE,1,
3126.00,3127.00,MEN,DAN,,,,0,POSITIVE,NEGATIVE,1,
3127.00,3130.00,MEN,DAN,,BACK,CHANGE_POSITION,1,POSITIVE,NEGATIVE,1,
3130.00,3140.00,MEN,DAN,,,CARRY,1,POSITIVE,STRONG_NEGATIVE,1,
3310.00,3314.00,MEN,FORREST,,,SHAKE_HANDS,0,POSITIVE,POSITIVE,1,
3351.00,3352.00,WOMAN,FORREST,,,TAP,0,NEGATIVE,NEGATIVE,1,
3353.00,3356.00,WOMAN,FORREST,,,LEAD,0,NEGATIVE,NEGATIVE,1,
3357.00,3357.00,WOMAN,FORREST,,,PAT,0,NEGATIVE,NEGATIVE,1,
3361.00,3362.00,MEN,FORREST,,HIP,PUSH_AWAY,0,POSITIVE,NEGATIVE,1,
3363.00,3364.00,MEN,FORREST,,BACK,LEAD,0,POSITIVE,NEGATIVE,1,
3364.00,3365.00,MEN,FORREST,,BACK,LEAD,0,POSITIVE,NEGATIVE,1,
3377.00,3377.00,WOMAN,FORREST,,,NUDGE,1,POSITIVE,NEGATIVE,1,
3378.00,3379.00,,FORREST,,,NUDGE,0,POSITIVE,NEGATIVE,1,
3379.00,3379.00,WOMAN,FORREST,,,TAP,0,POSITIVE,POSITIVE,1,
3379.00,3379.00,WOMAN,MEN,,BACK,LEAD,0,POSITIVE,POSITIVE,1,
3380.00,3381.00,MEN,FORREST,,BACK,PUSH_AWAY,0,NEGATIVE,NEGATIVE,0,
3381.00,3382.00,MEN,FORREST,,,HOLD,0,POSITIVE,POSITIVE,1,
3416.00,3416.00,WOMAN,FORREST,,,TAP,0,POSITIVE,POSITIVE,1,
3418.00,3418.00,WOMAN,FORREST,,,PULL_SOMEBODY,1,POSITIVE,STRONG_NEGATIVE,1,
3423.00,3424.00,MEN,FORREST,,BACK,PUSH_AWAY,1,POSITIVE,NEGATIVE,1,
3493.00,3493.00,WOMAN,MEN,,BACK,PUSH_AWAY,1,STRONG_NEGATIVE,STRONG_NEGATIVE,1,
3375.00,3375.00,MEN,MEN,,,HOLD,1,STRONG_NEGATIVE,STRONG_NEGATIVE,1,
3497.00,3499.00,MEN,WOMAN,,,BRUSH PAST,0,POSITIVE,POSITIVE,0,
3497.00,3499.00,WOMAN,MEN,,,BRUSH PAST,0,POSITIVE,POSITIVE,0,
3512.00,3513.00,WOMAN,WOMAN,,,BRUSH PAST,0,POSITIVE,POSITIVE,0,
3524.00,3536.00,MEN,FORREST,,,UNDRESS_SOMEONE,1,STRONG_POSITIVE,POSITIVE,1,
3566.00,3578.00,FORREST,JENNY,,,HUG,1,STRONG_POSITIVE,STRONG_POSITIVE,1,
3566.00,3578.00,JENNY,FORREST,,,HUG,1,STRONG_POSITIVE,STRONG_POSITIVE,1,
3578.00,3586.00,JENNY,FORREST,,,HOOK_ARM,0,POSITIVE,POSITIVE,1,
3593.00,3594.00,MEN,FORREST,,,SCAN,1,NEGATIVE,NEGATIVE,1,AUDITORY
3595.00,3596.00,JENNY,MEN,,CHEST,PUSH_AWAY,0,NEGATIVE,STRONG_NEGATIVE,1,AUDITORY
3596.00,3596.00,MEN,JENNY,,,PUSH_AWAY,1,NEGATIVE,NEGATIVE,1,
3598.00,3598.00,MEN,JENNY,CHEST,,BRUSH PAST,0,NEGATIVE,NEGATIVE,0,
3608.00,3608.00,MEN,MEN,,,HOLD,1,NEGATIVE,NEGATIVE,1,AUDITORY
3623.00,3624.00,MEN,MEN,,,BRUSH PAST,0,POSITIVE,POSITIVE,0,
3624.00,3624.00,JENNY,MEN,,,BRUSH PAST,0,NEGATIVE,NEGATIVE,0,
3644.00,3644.00,MEN,JENNY,,FACE,SMACK,1,STRONG_NEGATIVE,STRONG_NEGATIVE,1,
3654.00,3655.00,FORREST,MEN,,,TACKLE,1,STRONG_NEGATIVE,STRONG_NEGATIVE,1,
3656.00,3657.00,FORREST,MEN,,,TACKLE,1,STRONG_NEGATIVE,STRONG_NEGATIVE,1,AUDITORY
3658.00,3661.00,FORREST,MEN,,,HIT,1,STRONG_NEGATIVE,STRONG_NEGATIVE,1,
3663.00,3663.00,JENNY,FORREST,,,HOLD,0,POSITIVE,NEGATIVE,1,
3663.00,3664.00,JENNY,FORREST,,,PUSH_AWAY,0,POSITIVE,NEGATIVE,1,
3665.00,3666.00,JENNY,FORREST,,,PAT,0,POSITIVE,STRONG_NEGATIVE,1,
3724.00,3725.00,JENNY,FORREST,,,PAT,0,POSITIVE,POSITIVE,1,
3745.00,3752.00,JENNY,FORREST,,,ARM_AROUND_SHOULDER,0,POSITIVE,POSITIVE,1,
3844.00,3844.00,FORREST,JENNY,,,PAT,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
3844.00,3845.00,FORREST,JENNY,,,PAT,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
3869.00,3873.00,JENNY,FORREST,,,HUG,1,STRONG_POSITIVE,STRONG_POSITIVE,1,
3870.00,3871.00,FORREST,JENNY,,BACK,TAP,0,POSITIVE,POSITIVE,1,
3872.00,3872.00,JENNY,FORREST,,BACK,TAP,0,POSITIVE,POSITIVE,1,
4111.00,4117.00,MEN,MEN,,,NESTLE,0,POSITIVE,POSITIVE,0,
4252.00,4255.00,DAN,FORREST,,,TAP,0,POSITIVE,POSITIVE,1,
4272.00,4273.00,WOMAN,DAN,,HEAD,PAT,0,POSITIVE,POSITIVE,1,
