start;end;actor;recp;bp_actor;bp_recp;label;int_bc;val_actor;val_recp;intention;audio_info
00:33:35:21;00:33:36:04;fg;man;hand;brust;weg;str;sneg;sneg;ja;narr
00:33:36:01;00:33:36:02;man;fg;hand;brust;sb;str;neg;neg;ja;
00:33:40:18;00:33:40:22;jc;fg;hand;brust;sb;wea;neg;neg;ja;
00:33:40:20;00:33:44:08;fg;jc;hand arm;ruecken arm schulter;tra;wea;pos;neg;ja;narr
00:33:44:19;00:33:45:02;jc;fg;hand;brust;weg;str;sneg;neg;ja;
00:36:54:20;00:36:55:07;fg;bb;schulter;schulter;sb;wea;pos;pos;nein;
00:40:06:04;00:40:06:08;dt;man;hand;schulter;ans;wea;pos;neg;ja;
00:41:59:17;00:42:00:03;bb;fg;hand;ruecken schulter arm;tae;wea;pos;pos;ja;
00:42:02:08;00:43:02:22;bb;fg;arm ruecken schulter;ruecken;nah;wea;pos;pos;ja;
00:43:26:04; 00:43:27:02;jc;man;arm brust hals gesicht hand bauch nacken;arm brust hals gesicht hand bauch;arm;str;spos;spos;ja;
00:44:42:14;00:44:43:17;man;man;hand;arm;klei;wea;pos;pos;ja;
00:45:12:20;00:45:14:22;dt;fg;hand;arm;lag;str;pos;pos;ja;narr
00:46:23:15;00:46:30:10;fg;man;arm brust hand schoss;brust  arm bein hand bauch hals kopf schulter;tra;str;spos;pos;ja;aud narr
00:46:31:03;00:46:44:17;fg;man;arm hand ruecken schoss;brust  arm bein hand bauch hals kopf schulter;tra;str;spos;pos;ja;narr
00:46:49:10;00:46:52:16;fg;man;arm hand ruecken schoss;brust  arm bein hand bauch hals kopf schulter;tra;str;spos;pos;ja;narr
00:46:54:01;00:46:54:12;fg;man;hand;bein;lag;wea;spos;pos;ja;narr
00:46:58:04;00:46:59:07;fg;man;hand;schulter;lag;str;spos;pos;ja;
00:47:00:05;00:47:00:15;fg;man;hand;schulter;lag;str;spos;pos;ja;narr
00:47:01:20;00:47:02:12;fg;man;hand;huefte;lag;wea;spos;pos;ja;
00:47:18:16;00:47:20:22;fg;man;hand;arm schulter ruecken;sb;wea;pos;pos;ja;
00:47:21:07;00:47:24:16;fg;dt;arm hand;bauch huefte;lie;wea;pos;neg;ja;
00:47:24:12;00:47:24:18;dt;fg;arm;hals;weg;str;neg;neg;ja;
00:47:25:04;00:47:26:22;fg;dt;hand arm bauch;bauch;lie;wea;pos;neg;ja;
00:47:26:22;00:47:31:01;fg;dt;hand;bauch arm;klei;str;pos;neg;ja;
00:47:31:07;00:47:32:14;fg;dt;hand;schulter brust;lag;str;pos;neg;ja;
00:47:31:22;00:47:32:12;dt;fg;hand;brust;weg;str;sneg;neg;ja;
00:47:33:01;00:47:33:05;fg;dt;hand;hand;fes;str;pos;sneg;ja;
00:47:33:01;00:47:33:19;fg;dt;hand;hand;fes;str;pos;sneg;ja;
00:47:33:04;00:47:33:08;dt;fg;hand;brust;weg;str;neg;sneg;ja;
00:47:33:20;00:47:34:24;dt;fg;hand;brust;rin;str;sneg;neg;ja;aud
00:47:34:01;00:47:36:05;fg;dt;hand;brust;rin;str;pos;sneg;ja;aud
00:47:36:20;00:47:40:20;fg;dt;hand arm ruecken schulter;hand bauch ruecken arm bein huefte schoss;tra;str;pos;neg;ja;aud narr
00:47:39:15;00:47:40:21;dt;fg;hand;gesaess;sb;wea;neg;pos;nein;
00:47:46:08;00:47:51:02;fg;dt;hand arm ruecken schulter;hand bauch ruecken arm bein huefte schoss;tra;str;pos;neg;ja;
00:47:55:21;00:47:56:05;fg;dt;hand;schulter arm;zie;str;pos;neg;ja;narr
00:47:57:21;00:48:00:07;fg;dt;hand;arm;zie;str;pos;neg;ja;
00:48:01:06;00:48:04:15;fg;dt;hand arm ruecken schulter;hand bauch ruecken arm bein huefte schoss;tra;str;spos;sneg;ja;narr
00:48:06:08;00:48:17:01;fg;dt;hand arm ruecken schulter;hand bauch ruecken arm bein huefte schoss;tra;str;spos;sneg;ja;
00:48:17:13;00:48:17:22;fg;dt;hand;bauch huefte;sb;str;neg;neg;nein;narr
00:48:18:17;00:48:18:23;dt;fg;hand;arm brust;fes;str;sneg;neg;ja;narr
00:48:19:13;00:48:28:02;dt;fg;hand;arm schulter;fes;str;sneg;neg;ja;
00:48:29:16;00:48:30:01;dt;fg;hand;brust;fes;str;pos;neg;ja;
00:48:58:10;00:48:59:21;fg;bb;hand;schulter brust;klop;wea;pos;pos;ja;
00:49:21:00;00:49:24:23;fg;bb;hand arm bauch brust;ruecken arm nacken;tra;str;spos;pos;ja;
00:49:22:18;00:49:24:23;bb;fg;hand arm ;nacken schulter;arm;str;pos;pos;ja;
00:49:25:13;00:49:56:01;fg;bb;hand arm bauch brust;ruecken arm nacken;tra;str;spos;pos;ja;narr
00:49:25:13;00:49:56:01;bb;fg;hand arm;nacken schulter;arm;str;pos;pos;ja;narr
00:50:03:20;00:50:13:24;fg;bb;hand arm bauch brust;ruecken arm nacken;tra;str;spos;pos;ja;narr
00:50:03:20;00:50:59:17;bb;fg;hand arm;nacken schulter;arm;str;pos;pos;ja;
00:50:13:24;00:50:59:17;fg;bb;hand arm bauch brust;ruecken arm nacken;fes;str;spos;pos;ja;
00:51:54:10;00:51:54:18;dt;fg;hand;hand;sb;wea;sneg;pos;ja;
00:52:04:03;00:52:05:08;man;dt;hand;hand;lag;wea;pos;pos;ja;narr
00:52:05:14;00:52:05:20;man;dt;hand;hand;lag;wea;pos;pos;ja;
00:52:06:02;00:52:07:02;man;dt;hand;hand;lag;wea;pos;pos;ja;
00:52:07:15;00:52:12:01;man;dt;hand arm;ruecken schulter gesaess arm;lag;str;pos;pos;ja;narr
00:52:12:01;00:52:21:18;man;dt;hand arm;ruecken schulter gesaess arm;tra;str;pos;pos;ja;narr
00:55:10:01;00:55:14:18;oldman;fg;hand;hand;haes;wea;pos;pos;ja;
00:55:51:20;00:55:52:05;woman;fg;hand;arm;ans;wea;pos;pos;ja;
00:55:53:02;00:55:56:04;woman;fg;hand;ruecken arm;lag;str;pos;pos;ja;
00:55:56:15;00:55:56:21;woman;man;hand;arm;lag;wea;pos;pos;ja;
00:55:57:04;00:55:57:14;woman;fg;hand;arm;lag;wea;pos;pos;ja;
00:56:01:02;00:56:04:03;man;fg;hand;ruecken;fueh;wea;pos;pos;ja;narr
00:56:04:16;00:56:05:06;man;fg;hand;ruecken;fueh;wea;pos;pos;ja;
00:56:12:04;00:56:12:09;woman;man;hand;arm;fueh;wea;pos;pos;ja;
00:56:12:11;00:56:12:20;man;fg;hand;ruecken;fueh;wea;pos;pos;ja;
00:56:13:01;00:56:13:23;woman;man;hand;arm;fueh;wea;pos;pos;ja;
00:56:16:16;00:56:16:17;woman;man;hand;ruecken arm;klop;wea;pos;pos;ja;
00:56:17:08;00:56:17:24;woman;fg;hand;arm;fes;wea;pos;pos;ja;
