start,end,actor,recp,bp_actor,bp_recp,labels,int-bc,val_actor,val_recp,intention,audio_info
00:56:19:05,00:56:19:22,woman,man,hand,ruecken,fueh,wea,pos,pos,ja,
00:56:19:06,00:56:19:23,woman,fg,hand,arm,klop,wea,pos,pos,ja,
00:56:20:17,00:56:21:04,man,fg,hand,ruecken,fueh,wea,pos,pos,ja,
00:56:21:20,00:56:22:22,man,fg,hand,arm,lag,wea,pos,pos,ja,
00:56:56:19,00:56:56:24,woman,fg,hand,schulter,ans,wea,pos,pos,ja,
00:56:57:11,00:56:57:18,woman,fg,hand,arm,zie,wea,pos,pos,ja,
00:56:58:00,00:56:58:08,woman,fg,hand,arm,zie,wea,pos,pos,ja,
00:57:03:03,00:57:04:02,man,fg,hand,ruecken,weg,wea,pos,pos,ja,
00:58:07:20,00:58:08:22,woman,crowd,arme,arme,weg,str,neg,neg,ja,
00:58:13:13,00:58:13:23,woman,oldman,hand,ruecken,weg,str,neg,neg,ja,
00:58:14:24,00:58:15:18,man,oldman,arm,arm,rin,str,neg,neg,ja,
00:58:44:12,00:58:56:01,man,fg,hand,schulter,nah,wea,pos,pos,ja,
00:59:26:17,00:59:38:09,fg,jc,arm,arm,hug,str,spos,spos,ja,
00:59:26:17,00:59:38:09,jc,fg,arm,arm,hug,str,spos,spos,ja,
00:59:38:10,00:59:47:01,fg,jc,arm,arm,ein,wea,spos,spos,ja,
00:59:38:10,00:59:47:01,jc,fg,arm,arm,ein,wea,spos,spos,ja,
00:59:50:12,00:59:50:23,man,fg,hand,brust,weg,str,neg,neg,ja,
00:59:53:14,00:59:54:02,man,fg,hand,arm,fes,str,neg,neg,ja,
00:59:54:03,00:59:55:01,man,fg,hand,ruecken,abt,wea,neg,neg,ja,
00:59:55:19,00:59:56:12,jc,man,hand,brust,weg,wea,neg,neg,ja,
00:59:56:08,00:59:56:13,man,jc,hand,hand,fes,wea,neg,neg,ja,
01:00:08:04,01:00:08:18,man,man,hand,arm,weg,wea,neg,neg,ja,
01:00:23:03,01:00:23:22,man,man,arm,bauch,weg,wea,neg,neg,ja,
01:00:44:22,01:00:45:00,man,jc,hand,gesicht,fei,str,sneg,sneg,ja,narr aud
01:00:53:22,01:00:54:11,fc,man,hand,arm,tac,str,sneg,sneg,ja,
01:00:54:08,01:00:54:14,man,jc,hand,ruecken,fes,str,sneg,sneg,ja,
01:00:54:16,01:00:55:14,fg,man,bauch bein,bauch bein,lie,str,sneg,sneg,ja,
01:00:54:16,01:00:55:14,man,fg,bauch bein,bauch bein,lie,str,sneg,sneg,ja,
01:00:56:02,01:00:57:14,fg,man,bauch bein,bauch bein,rin,str,sneg,sneg,ja,
01:00:56:02,01:00:57:14,man,fg,bauch bein,bauch bein,rin,str,sneg,sneg,ja,
01:00:58:20,01:01:01:07,fg,man,hand,bauch,fes,str,sneg,sneg,ja,
01:00:59:04,01:00:59:07,fg,man,hand,gesicht,hit,str,sneg,sneg,ja,
01:01:00:01,01:01:00:05,fg,man,hand,gesicht,hit,str,sneg,sneg,ja,
01:01:01:00,01:01:01:04,fg,man,hand,gesicht,hit,str,sneg,sneg,ja,
01:01:02:22,01:01:02:24,fg,man,hand,gesicht,hit,str,sneg,sneg,ja,
01:01:03:08,01:01:03:19,jc,fg,hand,arm,fes,str,sneg,sneg,ja,
01:01:03:20,01:01:03:22,jc,fg,hand,ruecken,zie,str,sneg,sneg,ja,
01:01:03:24,01:01:04:24,jc,fg,hand,arm,zie,str,sneg,sneg,ja,
01:01:05:11,01:01:06:19,jc,man,hand,arm,lag,wea,neg,neg,ja,
01:01:06:05,01:01:06:19,man,jc,arm,hand,weg,str,sneg,neg,ja,
01:02:03:02,01:02:06:01,jc,fg,hand,schulter,klei,wea,pos,pos,ja,narr
01:02:25:20,01:02:32:01,jc,fg,hand,arm,ein,wea,pos,pos,ja,narr
01:02:27:15,01:02:28:04,jc,fg,hand,arm,tae,wea,spos,spos,ja,
01:02:28:05,01:02:32:01,jc,fg,hand,arm,fes,wea,spos,spos,ja,
01:04:04:18,01:04:05:11,fg,jc,hand,hand,hah,wea,pos,pos,ja,
01:04:29:04,01:04:33:14,jc,fg,arm,nacken,hug,str,pos,pos,ja,
01:04:29:15,01:04:31:22,fg,jc,hand,ruecken,tae,wea,pos,pos,ja,
01:04:31:23,01:04:32:10,jc,fg,hand,ruecken,nah,wea,pos,pos,ja,
01:04:32:12,01:04:32:23,jc,fg,hand,ruecken,tae,wea,pos,pos,ja,
01:06:11:15,01:06:12:01,man,fg,hand,hand,haes,wea,pos,pos,ja,
01:06:11:15,01:06:12:01,fg,man,hand,hand,haes,wea,pos,pos,ja,
01:10:52:05,01:10:55:15,dt,fg,hand,schulter,sb,wea,pos,pos,ja,
01:11:11:02,01:11:12:20,woman,dt,hand,schulter,sb,wea,pos,pos,ja,
01:11:26:06,01:11:26:16,woman,dt,hand,kopf,klei,wea,pos,pos,ja,
01:11:34:15,01:11:34:21,woman,woman,hand,schulter,ans,wea,pos,pos,ja,
01:11:36:22,01:11:37:03,woman,dt,hand,schulter,nah,wea,pos,pos,ja,
01:11:37:07,01:11:38:12,woman,dt,gesicht,kopf,kuss,wea,pos,pos,ja,
01:11:38:09,01:11:39:21,woman,fg,hand,schulter,sb,wea,pos,pos,ja,
01:12:32:01,01:12:32:17,woman,woman,gesicht,gesicht,kuss,wea,pos,pos,ja,
01:12:33:13,01:12:33:16,woman,fg,hand,schulter,nah,wea,pos,pos,ja,
01:12:33:21,01:12:34:16,women,fg,hand,hals,nah,wea,pos,pos,ja,
01:12:34:07,01:12:36:05,woman,fg,gesicht,gesicht,kuss,wea,pos,pos,ja,
01:12:34:16,01:12:36:05,woman,fg,gesicht,gesicht,kuss,wea,pos,pos,ja,
01:12:36:07,01:12:36:19,women,fg,hand,hals,nah,wea,pos,pos,ja,
01:15:04:08,01:15:07:14,mg,fg,hand,schulter,fes,wea,spos,spos,ja,
01:15:06:14,01:15:06:24,mg,fg,gesicht,gesicht,kuss,wea,spos,spos,ja,
01:15:06:22,01:15:08:08,fg,mg,hand,arm,klop,wea,spos,spos,ja,
01:15:09:00,01:15:09:02,mg,fg,hand,hand,hah,wea,pos,pos,ja,
01:15:09:02,01:15:11:02,mg,fg,hand,hand,fueh,wea,pos,pos,ja,
01:18:09:01,01:18:11:03,crowd,crowd,hand,hand,tanz,wea,pos,pos,ja,
01:18:44:04,01:18:45:19,man,jc,hand,ruecken,sb,wea,pos,neg,ja,
01:21:39:21,01:21:41:16,fg,dt,hand,hand,haes,wea,spos,spos,ja,
01:23:26:12,01:23:27:16,dt,fg,schulter,schulter,ans,wea,pos,pos,ja,
01:23:32:11,01:23:34:02,dt,fg,schulter,schulter,ans,wea,pos,pos,ja,
01:27:58:05,01:27:58:17,oldman,oldwoman,hand,hand,haes,wea,pos,pos,ja,
01:28:03:16,01:28:10:07,girl, boy,hand,schulter,arm,wea,pos,pos,ja,
01:30:18:19,01:30:29:22,jc,fg,arm,hals,hug,str,spos,spos,ja,
01:30:23:23,01:30:29:22,fg,jc,hand,ruecken,nah,wea,pos,pos,ja,
01:31:23:06,01:31:24:01,jc,fg,hand,schulter,sb,wea,pos,pos,ja,
01:31:24:12,01:31:25:21,jc,fg,hand,arm,sb,wea,pos,pos,ja,
01:31:28:17,01:31:32:00,jc,fg,hand,hand,tanz,wea,spos,spos,ja,
01:31:28:17,01:31:32:00,fg,jc,hand,hand,tanz,wea,spos,spos,ja,
01:31:36:00,01:31:41:05,jc,fg,hand,hand,tanz,wea,spos,spos,ja,
01:31:36:00,01:31:41:05,fg,jc,hand,hand,tanz,wea,spos,spos,ja,
01:31:46:04,01:31:47:23,jc,fg,hand,hand,tanz,wea,spos,spos,ja,
01:31:46:04,01:31:47:23,fg,jc,hand,hand,tanz,wea,spos,spos,ja,
