start,end,actor,recp,bp_actor,bp_recp,labels,int_bc,val_actor,val_recp,intention,audio_info
01:31:46:01,01:31:47:21,fg,jc,hand,hand,tanz,str,spos,spos,nein,narr
01:31:46:01,01:31:47:21,jc,fg,hand,hand,tanz,str,spos,spos,nein,narr
01:31:48:00,01:31:56:13,fg,jc,arm,arm,nah,wea,spos,spos,nein,narr
01:31:48:00,01:31:56:13,jc ,fg,arm,arm,nah,wea,spos,spos,nein,narr
01:31:50:00,01:31:55:05,jc,fg,arm,ruecken huefte,arm,wea,spos,spos,ja,narr
01:32:20:21,01:32:22:22,jc,fg,hand,ruecken,sb,wea,pos,pos,ja,
01:32:21:14,01:32:21:20,jc,fg,gesicht,gesicht,kuss,wea,spos,spos,ja,narr
01:33:48:11,,jc,fg,brust bauch,brust bauch,lie,str,spos,spos,ja,narr
01:33:52:14,01:33:53:11,jc,fg,gesicht,gesicht,kuss,str,spos,spos,ja,narr
01:33:54:19,01:33:56:06,jc,fg,hand,huefte,tae,wea,spos,spos,ja,
01:33:56:19,,fg,jc,gesicht,gesicht,kuss,str,spos,spos,ja,narr
01:34:03:13,01:34:08:15,fg,jc,bauch brust arm hand,bauch brust ruecken,hug,str,spos,spos,ja,narr
01:34:09:10,01:34:09:18,jc,fg,gesicht,gesicht,kuss,wea,spos,spos,ja,
01:34:15:20,01:34:22:07,fg,jc,bauch brust arm hand,bauch brust ruecken,hug,str,spos,spos,ja,narr
01:38:43:05,01:38:58:17,fg ,men,arm,arm,sb,wea,pos,pos,nein,
01:38:43:05,01:38:58:17,men,fg,arm,arm,sb,wea,pos,pos,nein,
01:41:17:17,01:41:27:15,crowd,crowd,arm,arm,sb,wea,pos,pos,nein,
01:41:47:18,01:42:14:14,crowd,crowd,arm,arm,sb,wea,pos,pos,nein,
01:42:18:21,01:42:19:01,man,man,arm,arm,sb,wea,pos,pos,nein,
01:43:09:19,01:43:10:01,fg,woman,hand,hand,sb,wea,pos,pos,nein,
01:43:24:06,01:43:26:03,jc,fg,brust arm,brust arm,hug,str,spos,pos,ja,narr
01:44:39:03,01:44:40:17,boy,woman,hand,hand,hah,wea,pos,pos,nein,
01:44:39:03,01:44:40:17,woman ,boy,hand,hand,hah,wea,pos,pos,nein,
01:44:40:19,01:44:43:24,jc,boy,arm huefte,bauch bein arm,tra,wea,spos,spos,ja,narr
01:44:47:21,01:45:03:17,jc,boy,arm huefte,bauch bein arm,tra,wea,spos,spos,ja,
01:44:54:08,01:44:58:19,jc,boy,hand,brust,tae,wea,pos,pos,ja,
01:45:02:00,01:45:04:13,jc,boy,arm huefte hand,bauch bein arm,tra,wea,pos,pos,ja,
01:45:44:20,01:45:45:14,jc,fg,hand,brust,tae,wea,pos,pos,ja,
01:45:46:01,01:45:49:18,jc,fg,hand,hand,hah,wea,pos,pos,ja,narr
01:47:59:10,01:48:21:00,woman,fg,hand,schulter,sb,wea,pos,pos,ja,
01:48:22:20,01:48:30:17,jc,fg,hand,hals brust,klei,wea,pos,pos,ja,narr
01:49:17:24,01:49:22:04,dt,woman,arm,schulter,arm,wea,spos,spos,ja,
01:49:34:22,01:49:35:16,jc,dt,gesicht,gesicht,kuss,wea,spos,spos,ja,narr
01:49:47:00,01:49:49:08,jc,boy,hand,arm,zie,wea,pos,pos,ja,
01:49:49:22,01:49:59:02,fg,jc,hand,hand,hah,wea,pos,pos,ja,
01:49:49:22,01:49:59:02,jc,fg,hand ,hand,hah,wea,spos,spos,ja,
01:49:55:16,01:49:59:02,dt,woman,hand,schulter,tae,wea,spos,spos,ja,
01:50:02:04,01:50:07:14,fg ,jc,hand,hand,hah,wea,spos,spos,ja,narr
01:50:02:04,01:50:07:14,jc,fg,hand,hand,hah,wea,spos,spos,ja,narr
01:50:06:24,01:50:13:09,fg,boy,hand,hand,hah,wea,spos,spos,ja,narr
01:50:43:02,01:50:44:03,jc,fg,hand,bein,tae,wea,pos,pos,ja,
01:52:04:17,01:52:07:03,jc,fg,hand,hand,hah,wea,spos,spos,ja,narr
01:53:02:23,01:53:03:21,fg,boy,gesicht,kopf,kuss,wea,spos,spos,ja,
01:55:55:23,01:56:05:14,fg,boy,arm,arm,sb,wea,pos,pos,nein,
01:56:09:05,01:56:10:01,fg,boy,arm,arm,sb,wea,pos,pos,nein,
